Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
0,0,"['DQN', 'GEN_OPP', 'R1', 'R2']",SYSTEM,START_EXPERIMENT,,,,,,,,,,
0,0,,SYSTEM,DEAL_CARDS,,,"[[3, 3, 4, 4, 5, 6, 8, 8, 8, 9, 9, 9, 10, 10, 11, 11, 11], [2, 3, 5, 5, 5, 7, 7, 8, 8, 8, 9, 9, 10, 10, 10, 11, 11], [6, 6, 7, 7, 7, 8, 8, 9, 9, 9, 10, 10, 10, 10, 11, 11, 12], [1, 2, 4, 4, 5, 6, 6, 6, 7, 7, 9, 10, 11, 11, 11, 11, 12]]",,,,,,,
1,0,,SYSTEM,NEW_MATCH,,,,,,,"{'DQN': None, 'GEN_OPP': None, 'R1': None, 'R2': None}",,"{'DQN': 0, 'GEN_OPP': 0, 'R1': 0, 'R2': 0}",
1,1,,R1,DISCARD,C11;Q1;J1,0.0,[ 6.  6.  7.  7.  7.  8.  8.  9.  9.  9. 10. 10. 10. 10. 11.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C11;Q1;J0', 'C11;Q1;J1', 'C11;Q2;J0', 'C11;Q2;J1']",,,,
1,1,,R2,DISCARD,C6;Q2;J1,0.0,[ 1.  2.  4.  4.  5.  6.  7.  7.  9. 10. 11. 11. 11. 11.  0.  0.  0.],[11. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 6.  6. 12.  0.  0.  0.  0.  0.  0.  0.  0.],"['C4;Q2;J0', 'C4;Q2;J1', 'C6;Q2;J0', 'C6;Q2;J1', 'C6;Q3;J0', 'C6;Q3;J1', 'C7;Q2;J0', 'C7;Q2;J1', 'pass']",,,,
1,1,,DQN,DISCARD,pass,0.0,[ 3.  3.  4.  4.  5.  6.  8.  8.  8.  9.  9.  9. 10. 10. 11. 11. 11.],[ 6.  6. 12.  0.  0.  0.  0.  0.  0.  0.  0.],[ 6.  6. 12.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,1,,GEN_OPP,DISCARD,pass,0.0,[ 2.  3.  5.  5.  5.  7.  7.  8.  8.  8.  9.  9. 10. 10. 10. 11. 11.],[ 6.  6. 12.  0.  0.  0.  0.  0.  0.  0.  0.],[ 6.  6. 12.  0.  0.  0.  0.  0.  0.  0.  0.],"['C5;Q3;J0', 'pass']",,,,
1,1,,R1,DISCARD,pass,0.0,[ 6.  6.  7.  7.  7.  8.  8.  9.  9.  9. 10. 10. 10. 10. 11.  0.  0.],[ 6.  6. 12.  0.  0.  0.  0.  0.  0.  0.  0.],[ 6.  6. 12.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,,,R2,DECLARE_PIZZA,,,,,,,,,,
1,2,,R2,DISCARD,C11;Q4;J0,0.0,[ 1.  2.  4.  4.  5.  6.  7.  7.  9. 10.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],"['C1;Q1;J0', 'C2;Q1;J0', 'C4;Q1;J0', 'C4;Q2;J0', 'C5;Q1;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C9;Q1;J0', 'C10;Q1;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'pass']",,,,
1,2,,DQN,DISCARD,pass,0.0,[ 3.  3.  4.  4.  5.  6.  8.  8.  8.  9.  9.  9. 10. 10. 11. 11. 11.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
