Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
0,0,"['DQN', 'GEN_OPP', 'R1', 'R2']",SYSTEM,START_EXPERIMENT,,,,,,,,,,
0,0,,SYSTEM,DEAL_CARDS,,,"[[3, 4, 5, 5, 7, 7, 8, 9, 9, 9, 10, 10, 10, 10, 11, 11, 12], [1, 2, 3, 4, 4, 7, 7, 8, 8, 8, 8, 9, 11, 11, 11, 11, 12], [2, 3, 4, 6, 6, 7, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11, 11], [5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 9, 9, 9, 10, 10, 11]]",,,,,,,
1,0,,SYSTEM,NEW_MATCH,,,,,,,"{'DQN': None, 'GEN_OPP': None, 'R1': None, 'R2': None}",,"{'DQN': 0, 'GEN_OPP': 0, 'R1': 0, 'R2': 0}",
1,1,,R2,DISCARD,C11;Q1;J0,0.0,[ 5.  5.  5.  6.  6.  6.  6.  7.  7.  8.  8.  9.  9.  9. 10. 10.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],['C11;Q1;J0'],,,,
1,1,,DQN,DISCARD,C3;Q1;J1,0.0,[ 4.  5.  5.  7.  7.  8.  9.  9.  9. 10. 10. 10. 10. 11. 11.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C3;Q1;J0', 'C3;Q1;J1', 'C4;Q1;J0', 'C4;Q1;J1', 'C5;Q1;J0', 'C5;Q1;J1', 'C5;Q2;J0', 'C5;Q2;J1', 'C7;Q1;J0', 'C7;Q1;J1', 'C7;Q2;J0', 'C7;Q2;J1', 'C8;Q1;J0', 'C8;Q1;J1', 'C9;Q1;J0', 'C9;Q1;J1', 'C9;Q2;J0', 'C9;Q2;J1', 'C9;Q3;J0', 'C9;Q3;J1', 'C10;Q1;J0', 'C10;Q1;J1', 'C10;Q2;J0', 'C10;Q2;J1', 'C10;Q3;J0', 'C10;Q3;J1', 'C10;Q4;J0', 'C10;Q4;J1', 'pass']",,,,
1,1,,GEN_OPP,DISCARD,pass,0.0,[ 1.  2.  3.  4.  4.  7.  7.  8.  8.  8.  8.  9. 11. 11. 11. 11. 12.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,1,,R1,DISCARD,pass,0.0,[ 2.  3.  4.  6.  6.  7.  8.  9.  9. 10. 10. 10. 10. 11. 11. 11. 11.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,1,,R2,DISCARD,pass,0.0,[ 5.  5.  5.  6.  6.  6.  6.  7.  7.  8.  8.  9.  9.  9. 10. 10.  0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,,,DQN,DECLARE_PIZZA,,,,,,,,,,
1,2,,DQN,DISCARD,C5;Q2;J0,0.0,[ 4.  7.  7.  8.  9.  9.  9. 10. 10. 10. 10. 11. 11.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q1;J0', 'C5;Q1;J0', 'C5;Q2;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C10;Q4;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'pass']",,,,
1,2,,GEN_OPP,DISCARD,C4;Q2;J0,0.0,[ 1.  2.  3.  7.  7.  8.  8.  8.  8.  9. 11. 11. 11. 11. 12.  0.  0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C4;Q2;J0', 'C4;Q2;J1', 'pass']",,,,
1,2,,R1,DISCARD,pass,0.0,[ 2.  3.  4.  6.  6.  7.  8.  9.  9. 10. 10. 10. 10. 11. 11. 11. 11.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,2,,R2,DISCARD,pass,0.0,[ 5.  5.  5.  6.  6.  6.  6.  7.  7.  8.  8.  9.  9.  9. 10. 10.  0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,2,,DQN,DISCARD,pass,0.0,[ 4.  7.  7.  8.  9.  9.  9. 10. 10. 10. 10. 11. 11.  0.  0.  0.  0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[4. 4. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,GEN_OPP,DECLARE_PIZZA,,,,,,,,,,
1,3,,GEN_OPP,DISCARD,C8;Q1;J0,0.0,[ 1.  2.  3.  7.  7.  8.  8.  8.  9. 11. 11. 11. 11. 12.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C1;Q1;J0', 'C1;Q1;J1', 'C2;Q1;J0', 'C2;Q1;J1', 'C3;Q1;J0', 'C3;Q1;J1', 'C7;Q1;J0', 'C7;Q1;J1', 'C7;Q2;J0', 'C7;Q2;J1', 'C8;Q1;J0', 'C8;Q1;J1', 'C8;Q2;J0', 'C8;Q2;J1', 'C8;Q3;J0', 'C8;Q3;J1', 'C8;Q4;J0', 'C8;Q4;J1', 'C9;Q1;J0', 'C9;Q1;J1', 'C11;Q1;J0', 'C11;Q1;J1', 'C11;Q2;J0', 'C11;Q2;J1', 'C11;Q3;J0', 'C11;Q3;J1', 'C11;Q4;J0', 'C11;Q4;J1', 'C0;Q0;J1', 'pass']",,,,
1,3,,R1,DISCARD,C7;Q1;J0,0.0,[ 2.  3.  4.  6.  6.  8.  9.  9. 10. 10. 10. 10. 11. 11. 11. 11.  0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C3;Q1;J0', 'C4;Q1;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C7;Q1;J0', 'pass']",,,,
1,3,,R2,DISCARD,C6;Q3;J0,0.0,[ 5.  5.  5.  6.  7.  7.  8.  8.  9.  9.  9. 10. 10.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'C5;Q2;J0', 'C5;Q3;J0', 'C6;Q1;J0', 'C6;Q2;J0', 'C6;Q3;J0', 'C6;Q4;J0', 'pass']",,,,
1,3,,DQN,DISCARD,pass,0.0,[ 4.  7.  7.  8.  9.  9.  9. 10. 10. 10. 10. 11. 11.  0.  0.  0.  0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,3,,GEN_OPP,DISCARD,pass,0.0,[ 1.  2.  3.  7.  7.  8.  8.  8.  9. 11. 11. 11. 11. 12.  0.  0.  0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,3,,R1,DISCARD,pass,0.0,[ 2.  3.  4.  6.  6.  8.  9.  9. 10. 10. 10. 10. 11. 11. 11. 11.  0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 6. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R2,DECLARE_PIZZA,,,,,,,,,,
1,4,,R2,DISCARD,C10;Q2;J0,0.0,[5. 5. 5. 6. 7. 7. 8. 8. 9. 9. 9. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C5;Q1;J0', 'C5;Q2;J0', 'C5;Q3;J0', 'C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'pass']",,,,
1,4,,DQN,DISCARD,C7;Q2;J0,0.0,[ 4.  8.  9.  9.  9. 10. 10. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.],[10. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q2;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'pass']",,,,
1,4,,GEN_OPP,DISCARD,pass,0.0,[ 1.  2.  3.  7.  7.  8.  8.  8.  9. 11. 11. 11. 11. 12.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,4,,R1,DISCARD,C6;Q2;J0,0.0,[ 2.  3.  4.  8.  9.  9. 10. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.],[7. 7. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q2;J0', 'pass']",,,,
1,4,,R2,DISCARD,C5;Q3;J0,0.0,[6. 7. 7. 8. 8. 9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q2;J0', 'C5;Q3;J0', 'pass']",,,,
1,4,,DQN,DISCARD,pass,0.0,[ 4.  8.  9.  9.  9. 10. 10. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,4,,R1,DISCARD,pass,0.0,[ 2.  3.  4.  8.  9.  9. 10. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 5. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R2,DECLARE_PIZZA,,,,,,,,,,
1,5,,R2,DISCARD,C9;Q3;J0,0.0,[6. 7. 7. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C8;Q2;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C9;Q3;J0', 'pass']",,,,
1,5,,DQN,DISCARD,pass,0.0,[ 4.  8.  9.  9.  9. 10. 10. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,5,,GEN_OPP,DISCARD,C8;Q3;J0,0.0,[ 1.  2.  3.  7.  7.  9. 11. 11. 11. 11. 12.  0.  0.  0.  0.  0.  0.],[9. 9. 9. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],"['C8;Q3;J0', 'C8;Q3;J1', 'pass']",,,,
1,5,,R1,DISCARD,pass,0.0,[ 2.  3.  4.  8.  9.  9. 10. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,5,,R2,DISCARD,pass,0.0,[6. 7. 7. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,GEN_OPP,DECLARE_PIZZA,,,,,,,,,,
1,6,,GEN_OPP,DISCARD,C1;Q1;J0,0.0,[ 2.  3.  7.  7.  9. 11. 11. 11. 11. 12.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C1;Q1;J0', 'C1;Q1;J1', 'C2;Q1;J0', 'C2;Q1;J1', 'C3;Q1;J0', 'C3;Q1;J1', 'C7;Q1;J0', 'C7;Q1;J1', 'C7;Q2;J0', 'C7;Q2;J1', 'C9;Q1;J0', 'C9;Q1;J1', 'C11;Q1;J0', 'C11;Q1;J1', 'C11;Q2;J0', 'C11;Q2;J1', 'C11;Q3;J0', 'C11;Q3;J1', 'C11;Q4;J0', 'C11;Q4;J1', 'C0;Q0;J1', 'pass']",,,,
1,6,,R1,DISCARD,pass,0.0,[ 2.  3.  4.  8.  9.  9. 10. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,6,,R2,DISCARD,pass,0.0,[6. 7. 7. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,6,,DQN,DISCARD,pass,0.0,[ 4.  8.  9.  9.  9. 10. 10. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,GEN_OPP,DECLARE_PIZZA,,,,,,,,,,
1,7,,GEN_OPP,DISCARD,C3;Q1;J1,0.0,[ 2.  7.  7.  9. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C2;Q1;J0', 'C2;Q1;J1', 'C3;Q1;J0', 'C3;Q1;J1', 'C7;Q1;J0', 'C7;Q1;J1', 'C7;Q2;J0', 'C7;Q2;J1', 'C9;Q1;J0', 'C9;Q1;J1', 'C11;Q1;J0', 'C11;Q1;J1', 'C11;Q2;J0', 'C11;Q2;J1', 'C11;Q3;J0', 'C11;Q3;J1', 'C11;Q4;J0', 'C11;Q4;J1', 'C0;Q0;J1', 'pass']",,,,
1,7,,R1,DISCARD,pass,0.0,[ 2.  3.  4.  8.  9.  9. 10. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,7,,R2,DISCARD,pass,0.0,[6. 7. 7. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,7,,DQN,DISCARD,pass,0.0,[ 4.  8.  9.  9.  9. 10. 10. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[ 3. 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.],['pass'],,,,
1,,,GEN_OPP,DECLARE_PIZZA,,,,,,,,,,
1,8,,GEN_OPP,DISCARD,C7;Q1;J0,0.0,[ 2.  7.  9. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C9;Q1;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'pass']",,,,
1,8,,R1,DISCARD,C3;Q1;J0,0.0,[ 2.  4.  8.  9.  9. 10. 10. 10. 10. 11. 11. 11. 11.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C2;Q1;J0', 'C3;Q1;J0', 'C4;Q1;J0', 'pass']",,,,
1,8,,R2,DISCARD,pass,0.0,[6. 7. 7. 8. 8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[3. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
